reference,value,footprint,x_mm,y_mm,rotation_deg
SWD2,Conn_02x05_Odd_Even,<pcbnew.LIB_ID; proxy of <Swig Object of type 'LIB_ID *' at 0x1052de030> >,90.0,64.0,90.0
TELEM2,53261-0471,<pcbnew.LIB_ID; proxy of <Swig Object of type 'LIB_ID *' at 0x1052de0f0> >,63.5,96.0,-90.0
TP5,I2C1,<pcbnew.LIB_ID; proxy of <Swig Object of type 'LIB_ID *' at 0x1052de6f0> >,134.0,63.0,0.0
TP6,I2C1,<pcbnew.LIB_ID; proxy of <Swig Object of type 'LIB_ID *' at 0x1052de8b0> >,139.0,63.0,0.0
U1,CH330N,<pcbnew.LIB_ID; proxy of <Swig Object of type 'LIB_ID *' at 0x1052de930> >,140.0,109.0,180.0
U10,IIS2MDCTR,<pcbnew.LIB_ID; proxy of <Swig Object of type 'LIB_ID *' at 0x1052de0f0> >,135.0,75.0,0.0
U11,24CW1280T-I/OT,<pcbnew.LIB_ID; proxy of <Swig Object of type 'LIB_ID *' at 0x1052de6f0> >,127.0,91.5,0.0
U12,BMI088,<pcbnew.LIB_ID; proxy of <Swig Object of type 'LIB_ID *' at 0x1052de8b0> >,118.0,100.0,0.0
U2,TPS54302,<pcbnew.LIB_ID; proxy of <Swig Object of type 'LIB_ID *' at 0x1052de930> >,74.0,113.0,0.0
U3,LD39200PU33R,<pcbnew.LIB_ID; proxy of <Swig Object of type 'LIB_ID *' at 0x1052de0f0> >,86.0,122.0,180.0
U7,BMP581,<pcbnew.LIB_ID; proxy of <Swig Object of type 'LIB_ID *' at 0x1052de6f0> >,130.0,98.0,0.0
U8,W25N01GVZEIG,<pcbnew.LIB_ID; proxy of <Swig Object of type 'LIB_ID *' at 0x1052de8b0> >,91.0,111.0,0.0
U9,PCA9685PW,<pcbnew.LIB_ID; proxy of <Swig Object of type 'LIB_ID *' at 0x1052de930> >,131.0,113.0,0.0
